facility_name,ward,subcounty,county,mfl_code,orgunitid,support_period,programs,mechanism_name,attribution_id
Riat Dispensary (Migori),Kanyasa Ward,Nyatike Sub County,Migori County,14047,1319,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Faith Medical Centre,Central Ward,Mwingi Central Sub- County,Kitui County,17453,7608,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Otati Dispensary,Kanyasa Ward,Nyatike Sub County,Migori County,13999,1313,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Muthale Mission Satallite,Township Ward,Kitui Central  Sub County,Kitui County,18899,9295,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kamuwongo Hope Medicare Centre,Kyuso Ward,Mwingi North Sub County,Kitui County,23033,2061503,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Lung'anyiro Health Centre,Namamali Ward,Matungu Sub County,Kakamega County,15972,12428,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Siabai/Makonge Dispensary,Ntimaru east Ward,Kuria East Sub County,Migori County,14079,6606,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Emukaya Clinic,Shinoyi-shikomari-esumeiya Ward,Navakholo Sub County,Kakamega County,15877,6927,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Hekima HTC Center,Tagare Ward,Kuria West Sub County,Migori County,20093,13409,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Nyangande Health Center,Kabonyo kanyagwal,Nyando Sub County,Kisumu County,13923,7775,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Siriba Dispensary,North west kisumu Ward,Kisumu West Sub County,Kisumu County,14094,10036,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Maseno Mission Hospital,North west kisumu Ward,Kisumu West Sub County,Kisumu County,13781,9983,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Malioni Dispensary,Waita Ward,Mwingi Central Sub- County,Kitui County,20267,8550,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Jaramogi Oginga Odinga Teaching & Referal Hospital,Kondele Ward,Kisumu Central Sub County,Kisumu County,13939,1552,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Katene Dispensary,Mutha Ward,Kitui South Sub County,Kitui County,22187,3505,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Isibania Sub-District Hospital,Isibania Ward,Kuria West Sub County,Migori County,13625,13408,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
St Monica Catholic Dispensary (Nguutani),Nguutani Ward,Mwingi West Sub County,Kitui County,16657,13482,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Yago Dispensary,Got kachola Ward,Nyatike Sub County,Migori County,16279,2142,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Koru Dispensary,Muhoroni koru Ward,Muhoroni Sub County,Kisumu County,17110,9675,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Nyaburi Clinic,Oruba Ward,Suna West Sub County,Migori County,13865,5518,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Muhuru Bay VCT Centre (Nyarami),Muhuru Ward,Nyatike Sub County,Migori County,20570,2668,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Nyamaranya Dispensary,Gokeharaka/getambwega Ward,Kuria East Sub County,Migori County,13898,7092,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Thitha Dispensary,Kivou Ward,Mwingi Central Sub- County,Kitui County,12798,11594,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
St Pauls Ejinja Dispensary,Koyonzo Ward,Matungu Sub County,Kakamega County,17930,10616,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Mumbuni Nursing Home,Central Ward,Mwingi Central Sub- County,Kitui County,12574,4576,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
P&D Clinic,South sakwa Ward,Awendo Sub County,Migori County,21138,14074,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Sondu Health Centre,South east nyakach Ward,Nyakach Sub County,Kisumu County,14096,9259,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Budonga Dispensary,Bunyala west Ward,Navakholo Sub County,Kakamega County,15812,4708,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Ondong Dispensary,Suna central Ward,Suna East Sub County,Migori County,16277,5086,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kavuvwani Dispensary,Kiomo/kyethani Ward,Mwingi West Sub County,Kitui County,12264,7548,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kandwia Dispensary,Kyuso Ward,Mwingi North Sub County,Kitui County,16860,3191,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
St Monica Rapogi Health Centre,North kanyamkago Ward,Uriri Sub County,Migori County,14121,7663,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Faith Nursing Home (Ikutha),Ikutha Ward,Kitui South Sub County,Kitui County,12013,10525,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kilonzo Dispensary,Nzambani Ward,Kitui East Sub County,Kitui County,20424,5744,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Pastor Machage Memorial Hospital,Oruba Ward,Suna West Sub County,Migori County,14014,7394,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Ndooni Dispensary,Tseikuru Ward,Mwingi North Sub County,Kitui County,20411,9620,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Muyuni Dispensary,Mui Ward,Mwingi Central Sub- County,Kitui County,12617,7472,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Ivuusya Dispensary,Nguni Ward,Mwingi Central Sub- County,Kitui County,12104,7759,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kimweli Dispensary,Ikutha Ward,Kitui South Sub County,Kitui County,17605,12384,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kanyaa Dispensary,Kyome/thaana Ward,Mwingi West Sub County,Kitui County,12180,7319,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Mukua Nima Dispensary,Athi Ward,Kitui South Sub County,Kitui County,20658,11273,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Ramula Dispensary,Ombeyi Ward,Muhoroni Sub County,Kisumu County,20331,6763,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Koru Mission Health Centre,Muhoroni koru Ward,Muhoroni Sub County,Kisumu County,13719,9676,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Railways Dispensary (Kisumu),Market Milimani Ward,Kisumu Central Sub County,Kisumu County,14027,6714,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Nyalenda Health Centre,Nyalenda b Ward,Kisumu Central Sub County,Kisumu County,13887,9769,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Emutsesa Health Centre,Kisa central Ward,Khwisero Sub County,Kakamega County,16055,17168,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Miranga Dispensary,Masogo/nyang'oma Ward,Muhoroni Sub County,Kisumu County,20907,6517,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Nyamanga Dispensary,Kachieng' Ward,Nyatike Sub County,Migori County,13896,2219,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Lwanda Konyango VCT Centre (Nyarami),North Kadem Ward,Nyatike Sub County,Migori County,20569,3282,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Komosoko Dispensary,Nyamosense/Komosoko Ward,Kuria West Sub County,Migori County,13716,12980,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Olasi Dispensary (Nyando),East kano/wawidhi Ward,Nyando Sub County,Kisumu County,13976,3479,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Midida Dispensary,West Kanyamkago Ward,Uriri Sub County,Migori County,17342,7664,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Mutomo Health Clinic,Mutomo Ward,Kitui South Sub County,Kitui County,18911,5741,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Mamu Medical Clinic,Suna central Ward,Suna East Sub County,Migori County,17734,12898,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Ikerege Clinic,Bukira central/ikerege Ward,Kuria West Sub County,Migori County,13615,14192,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Simba Opepo Dispensary,Kajulu Ward,Kisumu East Sub County,Kisumu County,14088,6837,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Jaber Dispensary,Muhoroni koru Ward,Muhoroni Sub County,Kisumu County,20503,10405,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Itheng'eli Dispensary,Migwani Ward,Mwingi West Sub County,Kitui County,16653,11507,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kandaria Medical Centre,North Nyakach Ward,Nyakach Sub County,Kisumu County,18721,9365,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Disciples of Mercy Clinic,Kajulu Ward,Kisumu East Sub County,Kisumu County,13534,4320,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Marie Stopes Nursing Home (Kisumu),Railways Ward,Kisumu Central Sub County,Kisumu County,13776,9817,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Mwanianga Dispensary,Kanziko Ward,Kitui South Sub County,Kitui County,17941,11278,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Emalindi Health Centre,Kisa east Ward,Khwisero Sub County,Kakamega County,17409,17284,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Ng'Imalo Dispensary,Kanyasa Ward,Nyatike Sub County,Migori County,16274,9597,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Mephibosheth Medical Clinic,Kyuso Ward,Mwingi North Sub County,Kitui County,20566,3219,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Rehoboth Maternity Nursing Home(Mwingi North),Kyuso Ward,Mwingi North Sub County,Kitui County,12243,4015,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Got Kachola Dispensary,Got kachola Ward,Nyatike Sub County,Migori County,19928,3776,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Katithini Dispensary,Mui Ward,Mwingi Central Sub- County,Kitui County,16940,8433,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Ikanga Sub county Hospital,Ikanga/kyatune Ward,Kitui South Sub County,Kitui County,12077,7186,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Ngelani Dispensary,Zombe/mwitika Ward,Kitui East Sub County,Kitui County,18686,3750,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kisumu County Hospital,Market Milimani Ward,Kisumu Central Sub County,Kisumu County,13704,11936,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Suna Rabuor Dispensary,Kwa Ward,Suna East Sub County,Migori County,14135,2523,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Obama dispensary,North sakwa Ward,Awendo Sub County,Migori County,22290,293315,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Star Maternity & Nursing Home,Shauri moyo kaloleni Ward,Kisumu Central Sub County,Kisumu County,14129,6938,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Mama Maria Clinic,Muhuru Ward,Nyatike Sub County,Migori County,13765,7451,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kitui county beyond Zero campaign KCA 423F,Township Ward,Kitui Central  Sub County,Kitui County,21169,2691,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Abundant Life Clinic,Manyatta B Ward,Kisumu East Sub County,Kisumu County,19897,10300,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Nyabokarange Dispensary,Bukira central/ikerege Ward,Kuria West Sub County,Migori County,13862,14195,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Othoro Sub District Hospital,North kanyamkago Ward,Uriri Sub County,Migori County,14003,7784,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Mnara Dispensary,Muhoroni koru Ward,Muhoroni Sub County,Kisumu County,13817,8390,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Mutyangome Dispensary,Nuu Ward,Mwingi Central Sub- County,Kitui County,12611,7600,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Wanzoa Dispensary,Kyangwithya east Ward,Kitui Central  Sub County,Kitui County,12842,7924,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Marysyl Medical Clinic,Kisa west Ward,Khwisero Sub County,Kakamega County,22642,2061408,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Katakani Dispensary,Kyuso Ward,Mwingi North Sub County,Kitui County,12213,5771,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kamaembe Dispensary,Chuluni Ward,Kitui East Sub County,Kitui County,20419,6632,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Enanga Clinic,Kisa east Ward,Khwisero Sub County,Kakamega County,17519,17299,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Yanzuu Health Centre,Nzambani Ward,Kitui East Sub County,Kitui County,12852,12455,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Muchebe Dispensary,Mokerero Ward,Kuria West Sub County,Migori County,13830,7241,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Mugabo Dispensary,Muhuru Ward,Nyatike Sub County,Migori County,16272,2248,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kibogo Dispensary,North Nyakach Ward,Nyakach Sub County,Kisumu County,13688,9465,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Kasangu Dispensary,Voo/kyamatu Ward,Kitui East Sub County,Kitui County,20891,5886,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Ekani Dispenasry,Kanziko Ward,Kitui South Sub County,Kitui County,17600,11401,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Nguni Health Centre,Nguni Ward,Mwingi Central Sub- County,Kitui County,12658,7967,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Monguni Dispensary,Athi Ward,Kitui South Sub County,Kitui County,17601,13446,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Family Health Options Kenya (FHOK) Dispensary,Market Milimani Ward,Kisumu Central Sub County,Kisumu County,13552,9813,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Akidiva Clinic,Bukira central/ikerege Ward,Kuria West Sub County,Migori County,13462,13343,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Syongila (ACK) Dispensary,Township Ward,Kitui Central  Sub County,Kitui County,12780,12476,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Bande Dispensary,Kaler Ward,Nyatike Sub County,Migori County,13494,14701,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Aga Khan Hospital (Kisumu),Market Milimani Ward,Kisumu Central Sub County,Kisumu County,13465,4578,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Kinanie Dispensary (kitui East sub county),Endau/malalani Ward,Kitui East Sub County,Kitui County,20900,6433,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
St Angela Medical Clinic,Mayoni Ward,Matungu Sub County,Kakamega County,22776,2085885,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Luciel Dispensary,Kanyasa Ward,Nyatike Sub County,Migori County,13736,7938,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Lutaso Dispensary,Bunyala East Ward,Navakholo Sub County,Kakamega County,15978,17257,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Ukasi Model Health Centre,Nguni Ward,Mwingi Central Sub- County,Kitui County,18090,11740,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kavuta Dispensary,Kyangwithya west Ward,Kitui Central  Sub County,Kitui County,12262,6380,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Othoch Rakuom Dispensary,Got kachola Ward,Nyatike Sub County,Migori County,14001,7555,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kiongwe dispensary,Nzambani Ward,Kitui East Sub County,Kitui County,18678,2826,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Pona VCT,Central Kamagambo Ward,Rongo Sub County,Migori County,18943,2344,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Central Clinic (Kisumu East),Kondele Ward,Kisumu Central Sub County,Kisumu County,13520,9787,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
St Elizabeth Chiga Mission Hospital,Kolwa East Ward,Kisumu East Sub County,Kisumu County,14106,6895,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Wanganga Health Centre,Awasi/onjiko Ward,Nyando Sub County,Kisumu County,18283,12806,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Getongoroma Health Centre,Nyabasi east Ward,Kuria East Sub County,Migori County,13570,10409,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kyusyani Dispensary,Nguutani Ward,Mwingi West Sub County,Kitui County,12421,7625,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Aneko Dispensary,Got kachola Ward,Nyatike Sub County,Migori County,13478,5475,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Eshiongo Dispensary,Shinoyi-shikomari-esumeiya Ward,Navakholo Sub County,Kakamega County,15883,6903,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kitui county beyond Zero campaign kbz 544y,Township Ward,Kitui Central  Sub County,Kitui County,21002,1471,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
