facility_name,mfl_code,orgunitid,support_period,programs,mechanism_name,attribution_id
Mathari Hospital,13076,3020,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Garrison Health Centre,12947,17233,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kangemi Health Centre,13001,10788,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kayole Hospital,13014,16958,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kayole II Sub-District Hospital,13016,17458,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kariokor Clinic,13007,7035,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Jericho Health Centre,12988,7300,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Pipeline Nursing Home,12978,10816,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Wamunga Health Clinic,13251,6909,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Brother andre Clinic,12887,14102,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kayole I Health Centre,13015,17011,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Getrude Embakasi Clinic,18395,6625,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lea Toto Kawagware,19914,14835,2017Q3,"WASH, NUTRITION",AfyaJijini,289802
St Monica Donholm Clinic,13220,12570,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Conerstone Clinic,12903,13114,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Diani Dispensary,12916,7025,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Mji Wa Huruma Dispensary,13093,7164,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Barkita Dispensary Utawala,17723,4479,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Nyina Wa Mumbi Dispensary,13129,15004,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Francis Health Centre (Nairobi North),13203,7181,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Tabitha Medical Clinic,13234,3039,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Olive Link Health Care,18797,14189,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Meridian Medical Donholm Clinic,17727,17436,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mercillin Afya Centre,13088,13092,2017Q3,"FPRH,WASH",AfyaJijini,289802
Loco Dispensary,13051,12589,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Getrude Children Hospital,20886,14356,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Saola Maternity and Nursing Home,13178,14024,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Meridian Medical Centre (Capital Centre),18591,2285,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Provide Internatinal Clinic (Dandora),13148,14512,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mwera Medical Clinic,19442,17288,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Dandora I Health Centre,12913,13135,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Gynapaed Dispensary,12966,6930,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
P & T Clinic,13136,7374,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Odilia's Dispensary,13221,3036,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Jinnah Ave Clinic,12990,6773,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Eden Dispensary,12931,3556,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mutuini Sub-District Hospital,13105,15018,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Cidi Mukuru Clinic,12897,6695,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
St Theresa's Health Services,13226,4140,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Korogocho Health Centre,18895,4723,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Patanisho Maternity and Nursing Home,12977,7016,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mary Mission,17514,10493,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Chonesus Clinic,19035,14216,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Pine Medical Clinic,13142,17078,2017Q3,"FPRH,WASH",AfyaJijini,289802
Family Care Medical Centre & Maternity,12942,8974,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Huruma (EDARP),12973,6959,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Maria Immaculate Health Centre,13062,14973,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Bridget's Mother & Child,13199,7471,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St John's Community Health Clinic,18222,7508,2017Q3,"FPRH,WASH",AfyaJijini,289802
Kariobangi South Clinic,17434,14921,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Maria Maternity and Nursing Home,13063,4214,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kenyatta University Dispensary,13024,3065,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lad Nan Hospital,19316,7055,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Westlands Health Centre,13258,11461,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Baraka Dispensary (Nairobi),12881,7091,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lea Toto Dagoretti,13046,15017,2017Q3,"WASH, NUTRITION",AfyaJijini,289802
Karen Health Centre,13003,6648,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Gaimu Medical Clinic,12946,11479,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Special Treatment Clinic,13193,7041,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St louis community Hospital,,6585,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Healthways Medical Centre,18278,6678,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Francis Community  Hospital,13202,12882,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Getrudes Hospital (Nairobi West Clinic),12953,6832,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Lukes (Kona) Health Centre,13213,3530,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Mary's Medical Clinic,13215,7005,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St John Community Centre,,7917,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Medical Link Integrated Health Program,19493,15297,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Fremo Medical Centre,18612,6722,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
EDARP Soweto Health Centre,13191,4235,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Samlink Med Clinic,,9080,2017Q3,"FPRH,WASH",AfyaJijini,289802
St Joseph Nursing Home,17933,4108,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Technical University Clinic,,6574,2017Q3,"FPRH, WASH",AfyaJijini,289802
South B Hospital LTD,18005,7503,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Edna Maternity,12933,6208,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Mbotela Clinic,13081,7283,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mathare 3A (EDARP),13075,7115,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Njiru Dispensary,13126,14664,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Provide International Korogocho,13150,4210,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Pumwani Majengo Dispensary,13155,7000,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Makadara Health Centre,13056,7514,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Getrudes Children Hospital Pangani,19314,5347,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Amurt Health Centre,12870,7122,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Chandaria Health Centre,12893,7045,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lengo Medical Clinic,18590,6765,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Embakasi Medical Centre,19437,6651,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Gertrudes Childrens Hospital,12950,2602,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ngaira Rhodes Dispensary,13121,6963,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Imara Health Centre,17685,6615,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Redemeed Health Centre,13160,7118,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ngong Road Health Centre,13123,6896,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Biafra Lions Clinic,12883,2825,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lindi Community Clinic,20623,13090,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Debomart Healthcare Systems,20195,14119,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Cana Family Life Clinic,12889,14948,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Reuben Mukuru Health Centre,13173,12572,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Mary's Mission Hospital,13218,12734,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Makina Community Clinic,20624,13684,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Utawala Estate Health Centre,18464,11450,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Senye Medical Clinic,13179,6774,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lagos Road Dispensary,13039,7006,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Hakati Medical Clinic,12967,17048,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Langata Hospital,13042,6628,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Florence Medical Care Health Centre,13201,14794,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Eastleigh Health Centre,12930,14550,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Parkroad Nursing Home (Nairobi),13139,2174,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Round About Medical Dispensary,13167,7213,2017Q3,"FPRH,WASH",AfyaJijini,289802
Mafra Clinic,19512,9591,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Getrude Donholm Clinic,12952,6990,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Babadogo Health Centre,12876,3771,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Philips Health Centre,13224,5066,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Melchezedek Hospital,13086,15343,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Jahmii Medical Hospital,12986,13111,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
ofafa I Clinic,13132,7486,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kaloleni Health Services,12999,14457,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Sunton Cfc Medical Clinic,,13630,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Samaritan Medical Services (Dandora),13176,14814,2017Q3,"FPRH,WASH",AfyaJijini,289802
Pipeline Medical Health Services,13143,4146,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Emmanuel Medical Centre,18893,7027,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Teresa's Parish Dispensary,13225,9670,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lianas Clinic Health Centre,13049,7088,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Huruma (Ncck) Dispensary,12972,7112,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Sunbeam Medical Centre,18281,2675,2017Q3,"FPRH,WASH",AfyaJijini,289802
Giovanna Dispensary,12955,7214,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Uthiru Muthua Dispensary,18628,8225,2017Q3,"FPRH, WASH",AfyaJijini,289802
Mbagathi District Hospital,13080,5740,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Rays International Clinic,,14597,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mwiki CFW Clinic,13012,7176,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
SDA Health Services Likoni Road Clinic,18593,15027,2017Q3,"FPRH,WASH",AfyaJijini,289802
St Peter Dispensary,13223,7162,2017Q3,"FPRH,WASH",AfyaJijini,289802
Babadogo (EDARP),12875,7139,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ruai (EDARP) Clinic,13169,14774,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lea Toto Clinic Kariobangi South,13047,14890,2017Q3,"WASH, NUTRITION",AfyaJijini,289802
Langata Health Centre,13041,6655,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Aski Medical Clinic,12873,16920,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Huruma Lions Dispensary,12974,7074,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Meridian Equator Hospital,13109,10034,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Coptic Hospital (Ngong Road),12905,6883,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Biafra Medical Clinic,12884,9714,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Space Care Health Services,13212,4952,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Pstc Health Centre,13153,7020,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Blissgvs Health Care(Pipeline),21050,12543,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Pumwani Maternity Hospital,13156,12869,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Umoja Health Centre,13240,13942,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Marura Nursing Home,13070,7119,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Makina Clinic,13058,13819,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Dandora II Health Centre,12912,7515,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Family Health Options Phoenix,12939,4591,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Vincent Catholic Clinic,13230,14268,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mukuru Mmm Clinic,13101,11416,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Unity Nursing Home,18334,14093,2017Q3,"FPRH, WASH, NUTRITION",AfyaJijini,289802
Mariakani Cottage Hospital Utawala,19432,3422,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Umoja III Medical Centre,20187,17435,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mary Immaculate Sisters Dispensary,13072,7446,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Victory Hospital,13247,14372,2017Q3,"FPRH, WASH",AfyaJijini,289802
St Joseph W Dispensary (Westlands),13209,2913,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Meridian Medical Centre (Buruburu),13084,7506,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Guru Nanak Hospital,12965,6981,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Njiru (EDARP) Clinic,17548,14689,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Blue House (AHF) Dispensary,12885,2228,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Karura Health Centre (Kiambu Rd),13009,7096,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ogwedhi Dispensary (Nairobi North),13133,1263,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Veronica EDARP,18409,6999,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lower Kabete Dispensary (Kabete),13052,7143,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Upendo Dispensary,13243,2225,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Diwopa Health Centre,12917,17155,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Coptic Medical Clinic,12904,14725,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mid Hill Medical Clinic,13091,4212,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kahawa West Health Centre,12997,11205,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Radiant Pangani Hospital,13158,7059,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kariobangi Health Centre,13006,14595,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Maria Dominica Dispensary,13061,6584,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Juja Road Hospital,19318,5294,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ngara Health Centre (City Council of Nairobi),13122,7031,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Metropolitan Hospital Nairobi,13090,7462,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Wema Medical Clinic,17394,13105,2017Q3,"FPRH, WASH",AfyaJijini,289802
Langata Women Prison Dispensary,13044,11437,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Waithaka Health Centre,13249,12453,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St John Hospital,13205,7242,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Babadogo Medical Health Centre,12877,7163,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lea Toto Community Mukuru Rueben,17720,11250,2017Q3,"WASH, NUTRITION",AfyaJijini,289802
Dagoretti Approved Dispensary,12909,15038,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Family Care Clinic Kasarani,12937,7199,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kaloleni Dispensary,12998,15046,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Salama Nursing Home,13175,14816,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Family Care Medical Centre (Phoenix),13140,11434,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mathare North Health Centre,13077,3066,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kahawa Garrison Health Centre,12996,11458,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Riruta Health Centre,13165,10129,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Arrow Web Maternity and Nursing Home,12872,1311,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Mother & Child Hospital,13096,9635,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mwatate Health Care Centre,19454,6543,2017Q3,"FPRH,WASH",AfyaJijini,289802
Revival Home Based Care Clinic,16168,13113,2017Q3,"FPRH,WASH",AfyaJijini,289802
St michael community Nursing home,,13554,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Michael,13219,6949,2017Q3,"FPRH,WASH",AfyaJijini,289802
Kariobangi EDARP,18743,14896,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Green Cross Clinic,19895,6700,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Aptc Health Centre,12871,4444,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Marurui Dispensary,13071,7215,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ngumba medical clinic,19236,7140,2017Q3,"FPRH,WASH",AfyaJijini,289802
Dandora (EDARP) Clinic,12911,6119,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Umoja Hospital,13241,14305,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ushirika Medical Clinic,13245,13093,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Jamaa Mission Hospital,12984,15904,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kivuli Dispensary,13036,15024,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mama Lucy Kibaki Hospital -Embakasi,17411,17282,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Bahati Health Centre,12879,15045,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Embakasi Health Centre,12935,17329,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Soweto Kayole Phc Health Centre,13017,7053,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Joseph's Dispensary (Dagoretti),13210,15015,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Provide Inter' Mutindwa Umoja Clinic,12971,7013,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
MOW Dispensary,13097,6961,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kabete Approved School Dispensary,12993,7142,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mariakani Cottage Hospital Ltd,13064,6976,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Maurice Medical Services,19438,7022,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Alliance Medical Centre,17847,7023,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Hono Clinic,12969,7279,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Alice Nursing Home,,9736,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Flomed Med Clinic,18472,12867,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Kasarani Health Centre,13010,14103,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Marys Msabaha Catholic Dispensary,11654,7674,2017Q4,"MCH, FPRH, NUTRITION, WASH",Afya Pwani,2045424
Gotani Model Health Centre,11404,1607,2017Q4,"MCH, FPRH, NUTRITION, WASH",Afya Pwani,2045424
Lenga Dispensary,11517,13419,2017Q4,"MCH, FPRH, NUTRITION, WASH",Afya Pwani,2045424
Bombi Dispensary,11256,10087,2017Q4,"MCH, FPRH, NUTRITION, WASH",Afya Pwani,2045424
Mission Medical Clinic (Bahari),11623,15307,2017Q4,"MCH, FPRH, NUTRITION, WASH",Afya Pwani,2045424
Takaungu Dispensary,11836,8148,2017Q4,"MCH, FPRH, NUTRITION, WASH",Afya Pwani,2045424
Kakoneni Dispensary,11452,8357,2017Q4,"MCH, FPRH, NUTRITION, WASH",Afya Pwani,2045424
Sokoke Dispensary,11802,7944,2017Q4,"MCH, FPRH, NUTRITION, WASH",Afya Pwani,2045424
Watamu (SDA) Dispensary,11893,8116,2017Q4,"MCH, FPRH, NUTRITION, WASH",Afya Pwani,2045424
Jaribuni Dispensary,11430,7206,2017Q4,"MCH, FPRH, NUTRITION, WASH",Afya Pwani,2045424
