facility_name,mfl_code,support_period,programs,mechanism_name,attribution_id
Frepals Community Nursing Home,12944,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ngara Health Centre (City Council of Nairobi),13122,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Joseph's Dispensary (Dagoretti),13210,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Diwopa Health Centre,12917,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mary Immaculate Sisters Dispensary,13072,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Radiant Pangani Hospital,13158,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Joseph Nursing Home,17933,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Umoja Health Centre,13240,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Maria Immaculate Health Centre,13062,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Meridian Medical Centre (Buruburu),13084,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kahawa Garrison Health Centre,12996,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Huruma (EDARP),12973,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Metropolitan Hospital Nairobi,13090,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lea Toto Kawagware,19914,2017Q3,"WASH, NUTRITION",AfyaJijini,289802
Utawala Estate Health Centre,18464,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Family Care Medical Centre & Maternity,12942,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Marurui Dispensary,13071,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Makina Community Clinic,20624,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
St Mary's Mission Hospital,13218,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Lukes (Kona) Health Centre,13213,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Upendo Dispensary,13243,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Juja Road Hospital,19318,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Dandora (EDARP) Clinic,12911,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Wamunga Health Clinic,13251,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Patanisho Maternity and Nursing Home,12977,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mathari Hospital,13076,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Jamaa Mission Hospital,12984,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ushirika Medical Clinic,13245,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lower Kabete Dispensary (Kabete),13052,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Cana Family Life Clinic,12889,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Debomart Healthcare Systems,20195,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Korogocho Health Centre,18895,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Embakasi Health Centre,12935,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Nyina Wa Mumbi Dispensary,13129,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ruaraka Clinic,13172,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
P & T Clinic,13136,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Gatwikera (Msf Belgium) Medical Clinic,12948,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Soweto Kayole Phc Health Centre,13017,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Veronica EDARP,18409,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Amurt Health Centre,12870,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Provide International Mutindwa Umoja Clinic,12971,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Raphael's Clinic,17683,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Getrudes Hospital (Nairobi West Clinic),12953,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Barkita Dispensary Utawala,17723,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Francis Community  Hospital,13202,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
MOW Dispensary,13097,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Karura Health Centre (Kiambu Rd),13009,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mariakani Cottage Hospital Ltd,13064,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Monica Donholm Clinic,13220,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lengo Medical Clinic,18590,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
St Maurice Medical Services,19438,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Biafra Medical Clinic,12884,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ogwedhi Dispensary (Nairobi North),13133,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Embakasi Medical Centre,19437,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Gertrudes Childrens Hospital,12950,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ngaira Rhodes Dispensary,13121,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Alliance Medical Centre,17847,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Hono Clinic,12969,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Diani Dispensary,12916,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Chandaria Health Centre,12893,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Flomed Med Clinic,18472,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Langata Women Prison Dispensary,13044,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kasarani Health Centre,13010,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mutuini Sub-District Hospital,13105,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Njiru (EDARP) Clinic,17548,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Mary's Health Services,13217,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mukuru Health Centre,18463,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mary Mission,17514,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Samaritan Community Health Clinic,13177,2017Q3,"FPRH,WASH",AfyaJijini,289802
Imara Health Centre,17685,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Waithaka Health Centre,13249,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Special Treatment Clinic,13193,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Getrude Embakasi Clinic,18395,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Eden Dispensary,12931,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Bristal Park Hospital,18271,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Uzima Dispensary,13246,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Blue House Dispensary,12885,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Jinnah Ave Clinic,12990,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Healthways Medical Centre,18278,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Odilia's Dispensary,13221,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Pine Medical Clinic,13142,2017Q3,"FPRH,WASH",AfyaJijini,289802
Edna Clinic,12933,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Gynapaed Dispensary,12966,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Mary's Medical Clinic,13215,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Huruma Nursing Home & Maternity,12976,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Emmaus Nursing Home,12936,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mwera Medical Clinic,19442,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Space Care Health Services,13212,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Provide Internatinal Clinic (Dandora),13148,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Pumwani Maternity Hospital,13156,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Guru Nanak Hospital,12965,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Meridian Medical Centre (Capital Centre),18591,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Joseph W Dispensary (Westlands),13209,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Redemeed Health Centre,13160,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Victory Hospital,13247,2017Q3,"FPRH, WASH",AfyaJijini,289802
Suba Medical Centre,20574,2017Q3,"FPRH,WASH",AfyaJijini,289802
St Teresa's Parish Dispensary,13225,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Huruma (Ncck) Dispensary,12972,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Dandora I Health Centre,12913,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ngong Road Health Centre,13123,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Giovanna Dispensary,12955,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
South B Hospital LTD,18005,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Mid Hill Medical Clinic,13091,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Conerstone Clinic,12903,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St John Hospital,13205,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kabete Approved School Dispensary,12993,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Emmanuel Medical Centre,18893,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kahawa West Health Centre,12997,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mji Wa Huruma Dispensary,13093,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mary Immaculate Clinic Mukuru,12982,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Biafra Lions Clinic,12883,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mbagathi District Hospital,13080,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Joseph Mukasa Dispensary,13208,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Westlands Health Centre,13258,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Makadara Mercy Sisters Dispensary,13057,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Umoja III Medical Centre,20187,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Bahati Health Centre,12879,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mariakani Cottage Hospital Utawala Clinic,19432,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mama Lucy Kibaki Hospital -Embakasi,17411,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mwiki CFW Clinic,13012,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lindi Community Clinic,20623,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
SDA Health Services Likoni Road Clinic,18593,2017Q3,"FPRH,WASH",AfyaJijini,289802
Reuben Mukuru Health Centre,13173,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Wakibe Clinic,13250,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Cidi Mukuru Clinic,12897,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Kivuli Dispensary,13036,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Peter Dispensary,13223,2017Q3,"FPRH,WASH",AfyaJijini,289802
Umoja Hospital,13241,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kaesegoletom dispensary,21350,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Nkutuk Elmuget Dispensary,17785,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Nakorimunyen dispensary,21349,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Wima Medical Clinic (Samburu East),19947,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Oromodei Dispensary,15444,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lokichar Sub County Hospital,,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Reliance Medical Clinic,17806,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Namoruputh (PAG) Health Centre,15299,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Loroo dispensary,21306,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Naibor Keju Dispensary,20718,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Napak Dispensary,20638,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Loruth Dispensary,15092,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Alpha Medical Clinic,16321,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kaakong Dispensary,,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kokuro Health Centre,14975,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kagitankori Dispensary,,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lkuroto Dispensary,17145,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Turkwel Health Centre (Loima),15754,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kangakipur Dispensary,14686,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Natuntun dispensary,21308,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Baraka Medical Clinic (Samburu East),16670,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Swari Model Health Centre,15693,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lpartuk Dispensary,17276,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Barsaloi Catholic Dispensary,14236,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lochorekuyen Dispensary,17480,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Sopel Dispensary,,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lokiriama Dispensary,15061,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lopur Dispensary (Turkana South),15083,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Koyasa Dispensary,14996,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Loltulelei Friends Dispensary,14504,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Urum Dispensary,,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Logorate Dispensary,20720,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Ekicheles Dispensary,21389,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Korinyang Dispensary,22000,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lokichar (RCEA) Health Centre,15057,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kiltamany Dispensary,19945,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Nairimirimo Dispensary,17280,2017Q3,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
