facility_name,mfl_code,support_period,programs,mechanism_name,attribution_id
St Peter Dispensary,13223,"Q1, Q2","FPRH,WASH",AfyaJijini,289802
Family Care Clinic Kasarani,12937,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Soweto Kayole Phc Health Centre,13017,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Wamunga Health Clinic,13251,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Gatwikera (Msf Belgium) Medical Clinic,12948,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Uzima Dispensary,13246,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ruaraka Clinic,13172,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Baraka Dispensary (Nairobi),12881,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Hamza Medical Clinic,19472,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Lunga Lunga Health Centre,13053,"Q1, Q2",,AfyaJijini,289802
South B Hospital LTD,18005,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Embakasi Health Centre,12935,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Dandora I Health Centre,12913,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lea Toto Dagoretti,13046,"Q1, Q2","WASH, NUTRITION",AfyaJijini,289802
Lower Kabete Dispensary (Kabete),13052,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ushirika Medical Clinic,13245,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Jamaa Mission Hospital,12984,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mary Mission,17514,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Joseph Mukasa Dispensary,13208,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Karen Health Centre,13003,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Dandora (EDARP) Clinic,12911,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Gaimu Medical Clinic,12946,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Marurui Dispensary,13071,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Pine Medical Clinic,13142,"Q1, Q2","FPRH,WASH",AfyaJijini,289802
Eastleigh Health Centre,12930,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kaloleni Health Centre,12998,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Blissgvs Health Care(Pipeline),21050,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Clare Medical Clinic,18465,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Debomart Healthcare Systems,20195,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Wakibe Clinic,13250,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mary Immaculate Clinic Mukuru,12982,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Woodstreet Nursing Home,13260,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Joseph's Dispensary (Dagoretti),13210,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Cana Family Life Clinic,12889,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Johanna Justin-Jinich Community Clinic (Kibera),17650,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Diwopa Health Centre,12917,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Langata Health Centre,13041,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Josiah Community Medical Centre,20450,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Salama Nursing Home,13175,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Family Care Medical Centre (Phoenix),13140,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St louis community Hospital,,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Aski Medical Clinic,12873,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lindi Community Clinic,20623,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Coptic Medical Clinic,12904,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Green Cross Clinic,19895,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Joseph Nursing Home,17933,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St michael community Nursing home,,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Revival Home Based Care Clinic,16168,"Q1, Q2","FPRH,WASH",AfyaJijini,289802
Suba Medical Centre,20574,"Q1, Q2","FPRH,WASH",AfyaJijini,289802
Healthways Medical Centre,18278,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mwatate Health Care Centre,19454,"Q1, Q2","FPRH,WASH",AfyaJijini,289802
Olympic Community Clinic,20626,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Huruma Lions Dispensary,12974,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Bridget's Mother & Child,13199,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Arrow Web Maternity and Nursing Home,12872,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Woodley Clinic,13259,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Francis Community  Hospital,13202,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Getrudes Hospital (Nairobi West Clinic),12953,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Guru Nanak Hospital,12965,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Pstc Health Centre,13153,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Lukes (Kona) Health Centre,13213,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Congo medical services,,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Joseph W Dispensary (Westlands),13209,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Victory Hospital,13247,"Q1, Q2","FPRH, WASH",AfyaJijini,289802
Riruta Health Centre,13165,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Coptic Hospital (Ngong Road),12905,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Mary's Health Services,13217,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Medical Link Integrated Health Program,19493,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Fremo Medical Centre,18612,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
EDARP Soweto Health Centre,13191,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Bristal Park Hospital,18271,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Orthodox Dispensary,13135,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
The Co-Operative University College of Kenya Dispensary,18304,"Q1, Q2","FPRH, WASH",AfyaJijini,289802
Radiant Pangani Hospital,13158,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Chandaria Health Centre,12893,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Samaritan Medical Services (Dandora),13176,"Q1, Q2","FPRH,WASH",AfyaJijini,289802
Pipeline Medical Health Services,13143,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
ofafa I Clinic,13132,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lianas Clinic Health Centre,13049,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Lagos Road Dispensary,13039,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Pipeline Nursing Home,12978,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Mary's Mission Hospital,13218,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Brother andre Clinic,12887,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kayole II Sub-District Hospital,13016,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kariobangi Health Centre,13006,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kayole I Health Centre,13015,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lea Toto Kawagware,19914,"Q1, Q2","WASH, NUTRITION",AfyaJijini,289802
Babadogo (EDARP),12875,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kaloleni Health Servics,12999,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lea Toto Clinic Kariobangi South,13047,"Q1, Q2","WASH, NUTRITION",AfyaJijini,289802
St Veronica EDARP,18409,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Monica Donholm Clinic,13220,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Meridian Equator Hospital,13109,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Garrison Health Centre,12947,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Theresa's Health Services,13226,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Biafra Lions Clinic,12883,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Biafra Medical Clinic,12884,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Space Care Health Services,13212,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Parkroad Nursing Home (Nairobi),13139,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Maria Dominica Dispensary,13061,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Umoja III Medical Centre,20187,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Pumwani Maternity Hospital,13156,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Marura Nursing Home,13070,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mariakani Cottage Hospital Utawala Clinic,19432,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Makina Clinic,13058,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Ngong Road Health Centre,13123,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Redemeed Health Centre,13160,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Round About Medical Dispensary,13167,"Q1, Q2","FPRH,WASH",AfyaJijini,289802
Mathari Hospital,13076,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Dandora II Health Centre,12912,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ngaira Rhodes Dispensary,13121,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Vincent Catholic Clinic,13230,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Karura Health Centre (Kiambu Rd),13009,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Conerstone Clinic,12903,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kangemi Health Centre,13001,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Umoja Health Centre,13240,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mary Immaculate Sisters Dispensary,13072,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Meridian Medical Centre (Buruburu),13084,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Getrude Embakasi Clinic,18395,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Makina Community Clinic,20624,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Juja Road Hospital,19318,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Hakati Medical Clinic,12967,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Francis Health Centre (Nairobi North),13203,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Unity Nursing Home,18334,"Q1, Q2","FPRH, WASH, NUTRITION",AfyaJijini,289802
Cidi Mukuru Clinic,12897,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Njiru (EDARP) Clinic,17548,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ogwedhi Dispensary (Nairobi North),13133,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Muteithania Medical Clinic,13103,"Q1, Q2",,AfyaJijini,289802
Imara Health Centre,17685,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Emmanuel Medical Centre,18893,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ngara Health Centre (City Council of Nairobi),13122,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Mary's Medical Clinic,13215,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Metropolitan Hospital Nairobi,13090,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kahawa West Health Centre,12997,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Olive Link Health Care,18797,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Getrude Donholm Clinic,12952,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Meridian Medical Donholm Clinic,17727,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Getrudes Children Hospital Pangani,19314,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Diani Dispensary,12916,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Babadogo Health Centre,12876,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Teresa's Parish Dispensary,13225,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Gsu Training School,12962,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Westlands Medical Centre,,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Utawala Estate Health Centre,18464,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Raphael's Clinic,17683,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Meridian Medical Centre (Capital Centre),18591,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kariokor Clinic,13007,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Upendo Dispensary,13243,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Makadara Health Centre,13056,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Provide Internatinal Clinic (Dandora),13148,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mwera Medical Clinic,19442,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Gynapaed Dispensary,12966,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Huruma (Ncck) Dispensary,12972,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Child Doctor Kenya,19504,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Barkita Dispensary Utawala,17723,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Wema Medical Clinic,17394,"Q1, Q2","FPRH, WASH",AfyaJijini,289802
St Odilia's Dispensary,13221,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Jinnah Ave Clinic,12990,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mathare North Health Centre,13077,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Pumwani Majengo Dispensary,13155,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Chonesus Clinic,19035,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Eden Dispensary,12931,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Giovanna Dispensary,12955,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Gertrudes Othaya Road Dispensary,12951,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mother & Child Hospital,13096,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Langata Hospital,13042,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Nyina Wa Mumbi Dispensary,13129,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mutuini Sub-District Hospital,13105,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Michael,13219,"Q1, Q2","FPRH,WASH",AfyaJijini,289802
Kariobangi EDARP,18743,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Florence Medical Care Health Centre,13201,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Jericho Health Centre,12988,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Nsis Health Centre (Ruaraka),13127,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Reuben Mukuru Health Centre,13173,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Fundi Issa Dispensary,11379,"Q1, Q2","MCH, FPRH, NUTRITION, WASH",Afya Pwani,2045424
Mt Harmony Clinic,11661,"Q1, Q2","MCH, FPRH, NUTRITION, WASH",Afya Pwani,2045424
Mnarani Dispensary,11636,"Q1, Q2","MCH, FPRH, NUTRITION, WASH",Afya Pwani,2045424
Palakumi Dispensary,11730,"Q1, Q2","MCH, FPRH, NUTRITION, WASH",Afya Pwani,2045424
Watamu Dispensary,11895,"Q1, Q2","MCH, FPRH, NUTRITION, WASH",Afya Pwani,2045424
