no,facility,ward,subcounty,county,mfl_code,orgunitid,support_period,programs,mechanism_name,attribution_id
18,Ogen Health Center,Chemelil Ward,Muhoroni Sub County,Kisumu County,13965,14436,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
19,Nyangore Dispensary,Chemelil Ward,Muhoroni Sub County,Kisumu County,20501,6448,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
20,Mashambani Dispensary,Chemelil Ward,Muhoroni Sub County,Kisumu County,17111,9839,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
21,Makindu Dispensary,Chemelil Ward,Muhoroni Sub County,Kisumu County,13759,9723,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
22,Kibigori Dispensary,Chemelil Ward,Muhoroni Sub County,Kisumu County,13687,2569,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
23,Riat Dispensary,West Kisumu Ward,Kisumu West Sub County,Kisumu County,14046,6814,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
24,Mainga Health Centre,West Kisumu Ward,Kisumu West Sub County,Kisumu County,21208,4208,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
25,Lwala Kadawa Health Centre,West Kisumu Ward,Kisumu West Sub County,Kisumu County,17174,6366,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
26,Rota Health Centre,South west kisumu Ward,Kisumu West Sub County,Kisumu County,14060,12665,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
27,Ojola Health Centre,South west kisumu Ward,Kisumu West Sub County,Kisumu County,13971,9902,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
28,Ober Kamoth Sub County Hospital,South west kisumu Ward,Kisumu West Sub County,Kisumu County,13954,6449,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
29,Sunga Dispensary,North west kisumu Ward,Kisumu West Sub County,Kisumu County,17175,6940,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
30,Siriba Dispensary,North west kisumu Ward,Kisumu West Sub County,Kisumu County,14094,10036,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
31,Mbaka Oromo Health Centre,North west kisumu Ward,Kisumu West Sub County,Kisumu County,20199,6393,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
32,Maseno University Health Centre,North west kisumu Ward,Kisumu West Sub County,Kisumu County,13782,9967,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
33,Chulaimbo County Hospital,North west kisumu Ward,Kisumu West Sub County,Kisumu County,13528,9896,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
34,Nyahera Sub District Hospital,North Kisumu Ward,Kisumu West Sub County,Kisumu County,13880,6436,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
35,Dago kokore Health Centre,North Kisumu Ward,Kisumu West Sub County,Kisumu County,22806,2062077,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
36,Usoma Health Centre,Central Kisumu Ward,Kisumu West Sub County,Kisumu County,16664,11911,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
37,St Mark's Lela Health Centre,Central Kisumu Ward,Kisumu West Sub County,Kisumu County,14118,6915,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
38,Kodiaga Prison Health Centre,Central Kisumu Ward,Kisumu West Sub County,Kisumu County,13709,6340,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
39,Kisumu International Airport Dispensary,Central Kisumu Ward,Kisumu West Sub County,Kisumu County,17553,6339,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
40,Kemri Medical Clinic,Central Kisumu Ward,Kisumu West Sub County,Kisumu County,18301,6338,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
41,Airport Health Centre (Kisumu),Central Kisumu Ward,Kisumu West Sub County,Kisumu County,13469,11948,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
42,Kowino Dispensary,Nyalenda A Ward,Kisumu East Sub County,Kisumu County,13722,2741,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
43,Manyatta Community Medical Clinic,Manyatta B Ward,Kisumu East Sub County,Kisumu County,20512,10297,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
44,Kuoyo Dispensary,Manyatta B Ward,Kisumu East Sub County,Kisumu County,21705,6363,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
45,Ahava Medical Center,Manyatta B Ward,Kisumu East Sub County,Kisumu County,23599,2161340,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
46,Museve Dispensary,Kyangwithya east Ward,Kitui Central  Sub County,Kitui County,12583,3795,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
47,Orongo Dispensary,Kolwa East Ward,Kisumu East Sub County,Kisumu County,21047,9466,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
48,Kotunga Dispensary,Kolwa East Ward,Kisumu East Sub County,Kisumu County,21899,14291,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
49,GK Prisons Dispensary (Kibos),Kolwa East Ward,Kisumu East Sub County,Kisumu County,13579,6269,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
50,Chiga Health Center,Kolwa East Ward,Kisumu East Sub County,Kisumu County,13524,13287,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
51,Nyalunya Health Center,Kolwa central Ward,Kisumu East Sub County,Kisumu County,13890,6443,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
52,St Consolata Clinic,Kajulu Ward,Kisumu East Sub County,Kisumu County,14105,6888,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
53,Mumbuni Dispensary (Mwingi),Migwani Ward,Mwingi West Sub County,Kitui County,12573,7485,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
54,Simba Opepo Dispensary,Kajulu Ward,Kisumu East Sub County,Kisumu County,14088,6837,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
55,Kibos Sugar Research Dispensary,Kajulu Ward,Kisumu East Sub County,Kisumu County,13689,9914,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
56,Got Nyabondo Dispensary,Kajulu Ward,Kisumu East Sub County,Kisumu County,13591,13203,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
57,Gita Sub County Hospital,Kajulu Ward,Kisumu East Sub County,Kisumu County,13647,9937,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
58,Star Maternity & Nursing Home,Shauri moyo kaloleni Ward,Kisumu Central Sub County,Kisumu County,14129,6938,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
59,Lumumba  Sub-County Hospital,Shauri moyo kaloleni Ward,Kisumu Central Sub County,Kisumu County,13738,6365,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
60,St.Lydia Okore Dispensary,Railways Ward,Kisumu Central Sub County,Kisumu County,21706,14407,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
61,St Jude's Clinic,Railways Ward,Kisumu Central Sub County,Kisumu County,14113,9875,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
62,Administration Police Dispensary (Kisumu Central),Railways Ward,Kisumu Central Sub County,Kisumu County,13464,14391,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
63,Nyalenda Health Centre,Nyalenda b Ward,Kisumu Central Sub County,Kisumu County,13887,9769,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
64,Interfelk Medical Center,Nyalenda b Ward,Kisumu Central Sub County,Kisumu County,20539,9069,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
65,Migosi Sub County Hospital,Migosi Ward,Kisumu Central Sub County,Kisumu County,13807,6418,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
66,Victoria Sub District Hospital,Market Milimani Ward,Kisumu Central Sub County,Kisumu County,17376,13374,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
67,Town Hall Dispensary,Market Milimani Ward,Kisumu Central Sub County,Kisumu County,14153,9939,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
68,Railways Dispensary (Kisumu),Market Milimani Ward,Kisumu Central Sub County,Kisumu County,14027,6714,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
69,Maseno University(Kisumu Town Campus),Market Milimani Ward,Kisumu Central Sub County,Kisumu County,20905,6391,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
70,Kisumu County Hospital,Market Milimani Ward,Kisumu Central Sub County,Kisumu County,13704,11936,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
71,Nightingale Medical Centre,Kondele Ward,Kisumu Central Sub County,Kisumu County,13856,9844,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
72,Kisumu County Beyond Zero Mobile Clinic,Kondele Ward,Kisumu Central Sub County,Kisumu County,20965,8485,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
73,Jaramogi Oginga Odinga Teaching & Referal Hospital,Kondele Ward,Kisumu Central Sub County,Kisumu County,13939,1552,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
74,Eshiongo Dispensary,Shinoyi-shikomari-esumeiya Ward,Navakholo Sub County,Kakamega County,15883,6903,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
75,Emukaya Clinic,Shinoyi-shikomari-esumeiya Ward,Navakholo Sub County,Kakamega County,15877,6927,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
76,Ingotse Dispensary,Ingoste-Matiha Ward,Navakholo Sub County,Kakamega County,15902,6926,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
77,Ematiha Dispensary,Ingoste-Matiha Ward,Navakholo Sub County,Kakamega County,16867,10592,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
78,Bushiri Health Centre,Ingoste-Matiha Ward,Navakholo Sub County,Kakamega County,15833,3636,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
79,Sisokhe Dispensary,Bunyala west Ward,Navakholo Sub County,Kakamega County,20041,10635,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
80,Kisembe Dispensary,Bunyala west Ward,Navakholo Sub County,Kakamega County,20044,4776,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
81,Kharanda Health Centre,Bunyala west Ward,Navakholo Sub County,Kakamega County,15934,4729,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
82,Butingo Dispensary,Bunyala west Ward,Navakholo Sub County,Kakamega County,20043,10591,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
83,Budonga Dispensary,Bunyala west Ward,Navakholo Sub County,Kakamega County,15812,4708,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
84,Sivilie Health Centre,Bunyala East Ward,Navakholo Sub County,Kakamega County,16147,4758,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
85,Namirama Dispensary,Bunyala East Ward,Navakholo Sub County,Kakamega County,17178,17487,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
86,Lutaso Dispensary,Bunyala East Ward,Navakholo Sub County,Kakamega County,15978,17257,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
87,Navakholo Sub-District Hospital,Bunyala central Ward,Navakholo Sub County,Kakamega County,16078,10636,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
88,Buchangu Dispensary,Bunyala central Ward,Navakholo Sub County,Kakamega County,15810,2447,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
89,Mirere Health Centre,Namamali Ward,Matungu Sub County,Kakamega County,17931,10664,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
90,Lung'anyiro Health Centre,Namamali Ward,Matungu Sub County,Kakamega County,15972,12428,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
91,Lubanga Dispensary,Namamali Ward,Matungu Sub County,Kakamega County,20671,6968,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
92,St Angela Medical Clinic,Mayoni Ward,Matungu Sub County,Kakamega County,22776,2085885,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
93,Matungu Sub-county Hospital,Mayoni Ward,Matungu Sub County,Kakamega County,16037,12731,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
94,Jehovah Rapha Clinic,Mayoni Ward,Matungu Sub County,Kakamega County,18825,10581,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
95,Mung'ung'u Dispensary,Koyonzo Ward,Matungu Sub County,Kakamega County,16042,12178,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
96,Indangalasia Dispensary,Koyonzo Ward,Matungu Sub County,Kakamega County,17929,6925,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
97,Shibanze Dispensary,Kholera Ward,Matungu Sub County,Kakamega County,16123,17292,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
98,Namulungu Dispensary,Kholera Ward,Matungu Sub County,Kakamega County,16070,10663,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
99,Mulukaka Clinic,Kholera Ward,Matungu Sub County,Kakamega County,16416,2749,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
100,Fina Medical Nursing Home,Kholera Ward,Matungu Sub County,Kakamega County,23609,2085595,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
101,Khalaba Health Centre,Khalaba Ward,Matungu Sub County,Kakamega County,15931,10617,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
102,Kakamega Provincial General Hospital (PGH),Shirere Ward,Lurambi Sub County,Kakamega County,15915,13112,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
103,Muhaka Health Centre,Kisa West Ward,Khwisero Sub County,Kakamega County,16027,17038,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
104,Marysyl Medical Clinic,Kisa West Ward,Khwisero Sub County,Kakamega County,22642,2061408,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
105,Ikomero Health Centre,Kisa West Ward,Khwisero Sub County,Kakamega County,19900,10705,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
106,Ebuhala Health Centre,Kisa West Ward,Khwisero Sub County,Kakamega County,20515,17152,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
107,Mwikalikha Health Centre,Kisa North Ward,Khwisero Sub County,Kakamega County,17410,13681,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
108,Mwihila Mission Hospital,Kisa North Ward,Khwisero Sub County,Kakamega County,16058,17298,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
109,Mundobelwa Health Centre,Kisa North Ward,Khwisero Sub County,Kakamega County,20516,17262,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
110,Khwisero Health Centre,Kisa North Ward,Khwisero Sub County,Kakamega County,15940,17193,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
111,Eshinutsa Health Centre,Kisa East Ward,Khwisero Sub County,Kakamega County,16115,17217,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
112,Eshibinga Health Centre,Kisa East Ward,Khwisero Sub County,Kakamega County,21788,17287,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
113,Eshiabwali Health Centre,Kisa East Ward,Khwisero Sub County,Kakamega County,19899,17014,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
114,Emalindi Health Centre,Kisa East Ward,Khwisero Sub County,Kakamega County,17409,17284,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
115,Elwangale Health Centre,Kisa East Ward,Khwisero Sub County,Kakamega County,16714,2630,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
116,Namasoli Health Centre,Kisa Central Ward,Khwisero Sub County,Kakamega County,16065,17413,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
117,Munyanza Nursing Home,Kisa Central Ward,Khwisero Sub County,Kakamega County,16045,17203,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
118,Mundoli Health Centre,Kisa Central Ward,Khwisero Sub County,Kakamega County,16040,17157,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
119,Mulwanda Dispensary,Kisa Central Ward,Khwisero Sub County,Kakamega County,16033,2651,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
120,Emutsesa Health Centre,Kisa Central Ward,Khwisero Sub County,Kakamega County,16055,17168,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
121,Emahene Clinic,Kisa Central Ward,Khwisero Sub County,Kakamega County,18165,17328,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
122,Ekambuli Health Centre,Kisa Central Ward,Khwisero Sub County,Kakamega County,20673,17264,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
123,Bukwala SDA Dispensary,Kisa Central Ward,Khwisero Sub County,Kakamega County,18315,17327,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
124,Mumbuni Nursing Home,Central Ward,Mwingi Central Sub- County,Kitui County,12574,4576,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
125,Chemelil GOK Health Center,Masogo/nyang'oma Ward,Muhoroni Sub County,Kisumu County,13521,12965,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
126,Musavani Dispensary,Tseikuru Ward,Mwingi North Sub County,Kitui County,20042,9618,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
127,Mumoni Nursing Home,Mumoni Ward,Mwingi North Sub County,Kitui County,21120,5312,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
128,Tisinye Health Centre,Gokeharaka/getambwega Ward,Kuria East Sub County,Migori County,14149,13900,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
129,Nyamaranya Dispensary,Gokeharaka/getambwega Ward,Kuria East Sub County,Migori County,13898,7092,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
130,Gosebe Dispensary,Gokeharaka/getambwega Ward,Kuria East Sub County,Migori County,20959,13779,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
131,Getambwega Dispensary,Gokeharaka/getambwega Ward,Kuria East Sub County,Migori County,13565,7070,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
132,Siruti Dispensary,West sakwa Ward,Awendo Sub County,Migori County,17051,7762,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
133,Rabondo Dispensary,West sakwa Ward,Awendo Sub County,Migori County,14019,3139,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
134,Dede Dispensary,West sakwa Ward,Awendo Sub County,Migori County,13532,5164,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
135,Ngo'Nga' Dispensary,South sakwa Ward,Awendo Sub County,Migori County,17052,9229,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
136,Mariwa Health Centre,South sakwa Ward,Awendo Sub County,Migori County,13778,7617,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
137,Bonde dispensary,South sakwa Ward,Awendo Sub County,Migori County,22974,2061860,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
138,Angaga Dispensary,South sakwa Ward,Awendo Sub County,Migori County,17050,5240,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
139,Ranen (SDA) Dispensary,North sakwa Ward,Awendo Sub County,Migori County,14032,14625,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
140,Obama dispensary,North sakwa Ward,Awendo Sub County,Migori County,22290,293315,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
141,Nyakuru Dispensary,North sakwa Ward,Awendo Sub County,Migori County,13885,8027,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
142,Kwoyo Kodalo Dispensary,North sakwa Ward,Awendo Sub County,Migori County,13729,8082,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
143,Kuja Dispensary,North sakwa Ward,Awendo Sub County,Migori County,13724,7399,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
144,Jevros Clinic,North sakwa Ward,Awendo Sub County,Migori County,13635,4364,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
145,Angogo dispensary,North sakwa Ward,Awendo Sub County,Migori County,22975,2061855,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
146,Otacho Dispensary,Central sakwa Ward,Awendo Sub County,Migori County,13998,7284,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
147,Ombo Bita Dispensary,Central sakwa Ward,Awendo Sub County,Migori County,17607,7401,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
148,Makaani Dispensary,Miambani Ward,Kitui Central  Sub County,Kitui County,12449,11822,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
149,Awendo Sub-District Hospital,Central sakwa Ward,Awendo Sub County,Migori County,13492,2008,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
150,ADOMA MEDICAL CLINIC,Central sakwa Ward,Awendo Sub County,Migori County,20479,7665,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
151,Yakalia Dispensary,Mulango Ward,Kitui Central  Sub County,Kitui County,12851,11961,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
152,Nzauni Dispensary,Nguutani Ward,Mwingi West Sub County,Kitui County,16929,1171,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
153,Nzalae Dispensary,Nguutani Ward,Mwingi West Sub County,Kitui County,22228,2062056,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
154,Yaathi Dispensary,Ikanga/kyatune Ward,Kitui South Sub County,Kitui County,17598,5743,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
155,Kyusyani Dispensary,Nguutani Ward,Mwingi West Sub County,Kitui County,12421,7625,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
156,Kikiini Dispensary,Nguutani Ward,Mwingi West Sub County,Kitui County,16932,3554,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
157,Winzyeei Health Centre,Kyome/thaana Ward,Mwingi West Sub County,Kitui County,12849,13479,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
158,Polycare Medical Centre,Nguutani Ward,Mwingi West Sub County,Kitui County,23293,2061733,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
159,Makongo Dispensary,Zombe/mwitika Ward,Kitui East Sub County,Kitui County,18681,12432,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
160,Nzeluni Health Centre,Migwani Ward,Mwingi West Sub County,Kitui County,12691,7391,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
161,Wingemi Health Centre,Nuu Ward,Mwingi Central Sub- County,Kitui County,12848,3435,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
162,Kwa Kavoo Dispensary,Migwani Ward,Mwingi West Sub County,Kitui County,16933,7358,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
163,Kilulu Dispensary(Mwingi),Migwani Ward,Mwingi West Sub County,Kitui County,16926,7349,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
164,Wii Dispensary,Mulango Ward,Kitui Central  Sub County,Kitui County,12846,13231,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
165,Itoloni Dispensary,Migwani Ward,Mwingi West Sub County,Kitui County,16934,7345,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
166,Itheng'eli Dispensary,Migwani Ward,Mwingi West Sub County,Kitui County,16653,11507,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
